record_date,computer_room_temp,computer_room_humidity,cold_aisle_temp,cold_aisle_humidity,battery_room_temp,battery_room_humidity,carrier_room_temp,carrier_room_humidity,power_room_temp,power_room_humidity,hydrogen_sensor,pue
2025-10-17,24.8,35.4,22.8,38.7,20.62,71.35,21.41,58.04,21.88,55.01,2.0,1.64
2025-10-20,24.8,35.4,22.6,38.5,20.18,64.2,21.91,53.03,24.01,46.37,1.0,1.58
2025-10-21,25.1,35.2,23.0,38.1,19.94,60.71,22.62,48.91,24.27,43.04,3.0,1.47
2025-10-22,25.0,35.8,23.0,38.7,19.69,60.54,20.43,53.58,22.24,47.42,2.0,1.55
2025-10-23,25.6,35.9,23.3,39.2,19.68,63.37,20.77,55.36,23.04,48.15,4.0,1.55
2025-10-24,24.5,36.1,22.7,38.7,19.77,64.48,21.6,55.63,23.36,49.58,1.0,1.5
2025-10-27,24.3,39.1,22.5,41.9,19.43,60.74,20.42,54.46,22.17,48.35,2.0,1.55
2025-10-28,24.3,36.4,22.7,38.9,19.43,61.58,20.52,54.66,22.43,48.19,1.0,1.56
2025-10-29,24.5,36.2,22.7,38.8,19.58,65.37,23.07,52.52,24.84,46.28,2.0,1.56
2025-10-30,24.3,34.9,22.5,37.0,19.58,65.84,21.45,54.75,23.62,47.76,4.0,1.55
2025-10-31,24.4,34.8,22.5,37.0,19.54,65.38,21.79,53.02,23.93,46.13,4.0,1.54
2025-11-04,24.7,35.0,23.3,36.5,19.59,63.03,23.1,50.61,24.87,44.29,5.0,1.54
2025-11-05,25.1,36.1,23.7,38.0,19.67,62.28,20.39,55.98,22.34,49.54,2.0,1.59
2025-11-06,25.0,35.3,23.6,36.9,19.66,60.63,20.32,54.54,22.06,48.53,1.0,1.53
2025-11-07,25.1,35.3,23.7,37.0,19.81,65.01,21.4,56.62,23.28,50.22,2.0,1.54
2025-11-08,25.1,36.2,23.7,38.0,19.73,60.23,21.15,51.86,23.35,44.84,3.0,1.54
2025-11-10,25.0,35.5,23.6,37.1,19.61,54.89,22.4,45.79,24.09,40.11,4.0,1.54
2025-11-11,25.0,35.7,23.8,37.3,19.4,53.73,21.86,46.2,24.12,39.61,2.0,1.6
2025-11-12,25.0,36.7,23.7,38.5,19.37,55.15,22.57,47.29,24.42,41.09,4.0,1.49
2025-11-13,24.6,36.4,23.1,38.6,19.29,54.69,21.5,46.1,23.38,39.96,3.0,1.47
2025-11-14,24.5,34.9,22.9,36.5,19.18,54.77,20.77,49.42,22.96,42.44,5.0,1.57
2025-11-17,24.0,39.8,22.8,41.4,18.73,41.13,22.42,33.21,24.54,27.45,0.0,1.48
2025-11-19,24.6,36.0,23.0,38.0,17.73,33.86,21.35,34.07,23.79,27.84,3.0,1.52
2025-11-24,20.8,43.1,21.1,42.2,17.43,39.62,22.64,35.09,24.86,29.06,1.0,1.6
